Date,"Korea, South",Germany,United Kingdom,US,France,China
2020-04-03,1497.1956351558933,168.7077459305985,362.00388913704177,18.190186639925127,148.71269909167287,0.14451230742401075
2020-04-04,1500.823545371357,185.85900386496496,388.887189144167,19.108608287249037,224.4708423911807,0.14937570238539574
2020-04-05,1505.914322609185,195.13285732008168,422.76751244081794,19.52552337715265,267.30598266730277,0.1591024923081657
2020-04-06,1507.9233266532324,208.0112200975218,422.76751244081794,19.933375095536622,299.98386328567494,0.19939919341678408
2020-04-07,1509.8738160163848,233.0160115884736,531.4938890723746,20.223402984165222,333.41243126940117,0.22580048035001682
2020-04-08,1512.9360843165343,256.03951649828076,682.0256385369293,20.47113513903549,360.9274212321749,0.23969589452540246
2020-04-09,1515.1206324032653,279.4449561707182,771.9852621772106,21.0662965354921,389.28501946218273,0.2494226844481724
2020-04-10,1517.305180489996,300.71394826469253,794.1695086488437,21.501338368435,441.06712752130034,0.4085251767563381
2020-04-11,1518.9826013423071,318.2352055003571,845.5350248816359,21.881999972260044,479.06110029840437,0.4321473808544937
2020-04-12,1520.5234879391976,327.85518733410754,888.2536933861087,22.2596404522452,505.3811185367369,0.4349264636895709
2020-04-13,1522.1423941106143,334.2048527628361,947.1759947715885,22.49830923559582,666.150775925015,0.21121029546586187
2020-04-14,1525.28268198529,343.8009636739221,1004.6252386224314,22.76114700966549,731.7363394164595,0.22441093893247824
2020-04-15,1527.4477251783892,369.46220553814476,1069.439770146459,23.008879164535756,798.118550724198,0.255675620827096
2020-04-16,1529.2031656052266,391.6263572320338,1134.2543016704872,23.434857625959012,838.0581825910973,0.26053901578848093
2020-04-17,1512.6435109120614,410.8185790542059,1224.3170393381931,23.652378542430466,896.9182000949818,0.2737396592550973
2020-04-18,1513.8528143172161,429.4737051164291,1257.9911345799947,23.97865991713764,993.3585463175101,0.28763507343048295
2020-04-19,1515.335186233212,436.57530460908606,1296.2906304805565,24.295877920325175,1077.5734125899862,0.3029200290234072
2020-04-20,1516.4079553829458,446.4936729761414,1347.8476441928515,24.51339883679663,1108.0911520141763,0.3098677361111
2020-04-21,1517.4612196390483,467.64331045679376,1402.3507729744204,24.81249009694487,1152.1365841650527,0.44326371219480226
2020-04-22,1518.670523044203,485.26005138311587,1464.219189429174,25.005842022697273,1185.2587491425122,0.47452839408941994
2020-04-23,1521.050120067249,502.3396965494892,1521.668433280017,25.68257376283068,1228.7220155814814,0.4946767446437292
2020-04-24,1523.5077366648213,519.1090197212253,1617.4171730314217,26.08740435737477,1517.9051728962456,0.5030139931489606
2020-04-25,1524.7950596445019,532.2499626479738,1617.4171730314217,26.335136512245036,1537.7141272514052,0.5377525285874247
2020-04-26,1526.7845587949175,535.9380201996224,1649.8244387934355,26.47712933271945,1639.0722417245183,0.5405316114225018
2020-04-27,1528.6765334771756,543.2186516122624,1686.6508771593606,26.749030478308768,1707.0324285145316,0.560679961976811
2020-04-28,1529.6127683714888,559.6060400213684,1729.3695456638334,26.954466899420694,1776.1569467283596,0.5648485862294267
2020-04-29,1530.627022840328,575.6234291291761,1773.5612717029433,27.36836086548443,1849.4485458274185,0.5954184974152751
2020-04-30,1531.5827626282726,590.5188848717575,1819.2260552766902,27.407635475402884,2358.4911802890456,0.5968080388328136
2020-05-01,1532.558007309849,599.3033844122541,1869.310011454348,27.56171279123683,2512.7344536438372,0.6197354722222
2020-05-02,1532.811570927059,604.6862774730747,1900.244219681725,27.742980221629704,2686.8786022556683,0.6225145550572772
2020-05-03,1534.7230505029484,607.3359498888224,1923.813140235917,27.845698432185667,2759.9557192503403,0.6259884086011235
2020-05-04,1536.829579015153,614.3898075361506,1954.747348463294,28.045092605617832,2867.6257356525525,0.6322413449800471
2020-05-05,1538.3509607184121,630.693647715931,1990.1007292945817,28.196148797611897,2907.6266481207053,0.6433576763203557
2020-05-06,1539.501749442672,645.4578133838583,2060.807490957158,28.455965447841685,2909.449746007994,0.6489158419905099
2020-05-07,1540.4379843369854,658.7300463852608,2087.3225265806236,28.652338497433966,2987.980836514218,0.6739275875062041
2020-05-08,1540.7500626350895,667.0968047791306,2087.3225265806236,28.906112899983995,3048.6026713041374,0.6926863966429746
2020-05-09,1543.363718381714,670.1522828801728,2110.8914471348153,29.03300010125901,3256.052826697188,0.6954654794780518
2020-05-10,1544.143914126975,672.2887304586361,2127.0950800158225,29.099464825736398,3311.7415730862094,0.696160250186821
2020-05-11,1544.7485658295523,678.3519448153919,2145.0221902123544,29.214267531651885,3565.504542876512,0.7051922694008218
